original_title,id,original_language,popularity,release_date,vote_average,vote_count,genre,overview,revenue,runtime,tagline,summary_length,Unnamed: 15,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western
The Addams Family 2,639721,en,1031.821,2021-10-01,7.4,562,"['Animation', 'Comedy', 'Family']",get tangled wacky adventure find involved hilarious run sort unsuspecting character,93258233,93.0,Unhappy to see you again.,143,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
劇場版 七つの大罪 光に呪われし者たち,843241,ja,1108.815,2021-07-02,8.4,210,"['Animation', 'Action']",help worst rebel history four race including fought finally cost life wa defeated world regained peace sin take path,0,0.0,,399,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shang-Chi and the Legend of the Ten Rings,566525,en,1327.18,2021-09-01,7.7,1414,"['Action', 'Adventure', 'Fantasy']",shang chi must confront past thought left behind drawn web mysterious organization,427480601,132.0,You can't outrun your destiny.,130,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Snake Eyes: G.I. Joe Origins,568620,en,1052.222,2021-07-22,6.9,786,"['Action', 'Adventure']",saving life heir apparent tenacious loner welcomed ancient japanese clan called arashikage taught way ninja warrior secret past revealed honor allegiance tested even mean losing trust closest,36964325,121.0,Every warrior has a beginning.,343,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Vault,630004,en,1046.86,2021-03-03,7.1,392,"['Crime', 'Action', 'Thriller']",engineer learns mysterious impenetrable fortress hidden join crew master thief plan steal legendary lost treasure locked inside whole country distracted thousand soccer fan cheering street security force closing crew minute pull score lifetime,0,118.0,No job is impossible.,405,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
The Deep House,672582,en,848.536,2021-06-30,5.5,112,['Horror'],diving remote french lake couple youtubers specialize underwater exploration video discover house submerged deep water wa initially unique finding soon turn nightmare discover house wa scene atrocious crime trapped oxygen reserve falling dangerously realize worst yet come alone house,0,85.0,Breathe while you still can.,416,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
I onde dager,760747,no,863.019,2021-07-30,6.8,118,"['Action', 'Comedy', 'Thriller', 'Horror']",dysfunctional couple head remote lakeside cabin guise reconnecting ha secret design kill carry respective plan unexpected visitor arrive couple faced greater danger anything could plotted,0,113.0,Til Death Do Us Part,296,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Zone 414,675319,en,797.785,2021-09-03,5.8,86,"['Science Fiction', 'Thriller', 'Mystery']",near future colony state art robot private investigator hired colony creator bring missing daughter home,0,98.0,What hides in the city of robots?,150,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
劇場版「鬼滅の刃」無限列車編,635302,ja,897.913,2020-10-16,8.4,1833,"['Animation', 'Action', 'Adventure', 'Fantasy']",joined boy raised boar wear boar head scared boy reveals true power sleep board new mission defeat demon ha tormenting people killing demon slayer oppose,503063688,117.0,"With your blade, bring an end to the nightmare.",352,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
The Protégé,645788,en,832.048,2021-08-19,6.8,330,"['Action', 'Crime', 'Thriller']",rescued child legendary assassin trained family business world skilled contract killer man wa like father taught everything need know trust survival brutally killed vow revenge becomes entangled enigmatic killer whose attraction go way beyond cat mouse confrontation turn deadly loose end life spent killing weave ever tighter,8115215,109.0,"Wherever you run, the past follows...",511,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Последний богатырь: Корень зла,589754,ru,835.043,2021-01-01,7.0,63,"['Fantasy', 'Adventure', 'Comedy']",peace tranquility set evil wa defeated enjoying well deserved fame surrounded family friend small wonder modern world help lead comfortable life ha cut gap world get supply quite regularly ancient evil rise existence magic world put danger ha team old friend new rival set long journey beyond known world find way defeat enemy return peace belogorie,27658331,120.0,,612,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
W jak morderstwo,846167,pl,957.866,2021-06-18,5.8,25,"['Crime', 'Mystery', 'Drama', 'Comedy']",stay home mom avid reader crime story discovers deepest secret small town resident investigating woman murder,0,104.0,,147,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
The Suicide Squad,436969,en,807.497,2021-07-28,7.8,4695,"['Action', 'Adventure', 'Fantasy']",supervillains collection nutty con prison join super secret super shady dropped remote enemy infused island,167381210,132.0,They're dying to save the world.,228,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Deathstroke: Knights & Dragons - The Movie,703771,en,787.704,2020-08-04,7.0,294,"['Animation', 'Action', 'Adventure', 'Science Fiction']",assassin try save family wrath murderous,0,87.0,Never give a paid killer a reason to work for free,102,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The Boss Baby: Family Business,459151,en,761.177,2021-07-01,7.7,1582,"['Animation', 'Comedy', 'Adventure', 'Family']",brother little bro become adult drifted away new bos baby cutting edge approach attitude bring together inspire new family business,112000000,107.0,Playtime is over.,262,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ripper Untold,820511,en,678.956,2021-06-28,6.5,47,['Horror'],detective medical examiner join force solve series horrific murder victorian one harbour deadly secret,0,85.0,"1888, a bloodbath in Whitechapel. No one is safe.",148,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Matando Cabos 2: La Máscara del Máscara,772436,es,693.568,2021-10-01,7.9,57,"['Action', 'Comedy', 'Adventure']",faced unexpected death estranged father el subsequent theft precious mask find confronted past invincible bodyguard unexpected ally one day recover make amends memory father,0,0.0,,344,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F9,385128,en,701.647,2021-05-19,7.4,4302,"['Action', 'Crime', 'Thriller']",crew battle skilled assassin high performance driver ever encountered forsaken brother,721077945,143.0,Justice is coming.,137,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Jungle Cruise,451048,en,683.909,2021-07-28,7.8,3111,"['Adventure', 'Fantasy', 'Comedy', 'Action']",enlists aid wisecracking skipper take dilapidated boat search ancient tree hold power heal discovery change future medicine,213644366,127.0,,248,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Luca,508943,en,639.636,2021-06-17,8.0,5020,"['Animation', 'Comedy', 'Family', 'Fantasy']",best friend experience unforgettable summer italian fun threatened deeply held secret sea monster another world water surface,49010641,95.0,,219,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Operación Camarón,613098,es,585.313,2021-06-24,5.5,17,['Comedy'],geeky looking surprisingly good classical musician also complete unknown criminal underworld new newbie police force make perfect man dangerous mission go undercover keyboard player cheesy flamenco trap band hired play wedding local mafia bos daughter major drug trafficker attending keen take mission blissfully unaware turn even cheesier band lead singer fall love sister face tough choice remain loyal new friend complete police mission,0,90.0,,698,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Black Widow,497698,en,624.488,2021-07-07,7.7,5823,"['Action', 'Adventure', 'Science Fiction']",also known confronts darker part ledger dangerous conspiracy tie past arises pursued force stop nothing bring must deal history spy broken relationship left wake long became avenger,378328978,134.0,Her world. Her secrets. Her legacy.,332,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Separation,760195,en,557.939,2021-04-30,6.0,77,['Horror'],young girl find solace artist father ghost dead mother,0,107.0,It won't let go.,80,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
PAW Patrol: The Movie,675445,en,596.854,2021-08-09,7.7,660,"['Animation', 'Family', 'Adventure', 'Comedy']",ryder pup called stop turning bustling metropolis state chaos,121000000,86.0,Our fate is in their paws.,131,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
After We Fell,744275,en,625.512,2021-09-01,7.4,766,"['Romance', 'Drama']",life begin become unglued nothing thought would friend family person able rely furious discovers massive secret keeping make biggest decision life everything change revelation family,19000000,99.0,,371,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Dragon Fury,839436,en,580.002,2021-06-15,6.0,21,"['Horror', 'Fantasy', 'Mystery']",group soldier taken mountain investigate strange beast,0,88.0,They thought they could control it. They were wrong!,87,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
Kin,874948,tr,579.316,2021-10-08,6.6,32,"['Crime', 'Drama', 'Thriller']",promotion police chief becomes entangled deadly incident uncovers intrigue fueled grudge threatens colleague,0,104.0,,148,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Hypnotic,864873,en,514.169,2021-10-27,6.2,214,"['Thriller', 'Drama', 'Horror']",young woman seeking self improvement enlists help renowned hypnotist handful intense session discovers unexpected deadly consequence,0,88.0,His wish is her command.,167,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
Coco,354912,en,573.567,2017-10-27,8.2,14756,"['Family', 'Animation', 'Fantasy', 'Music', 'Comedy', 'Adventure']",despite family baffling generation old ban music dream becoming accomplished musician like idol de la prove talent find stunning colorful following mysterious chain event along way meet charming trickster together set extraordinary journey unlock real story behind family history,800526015,105.0,The celebration of a lifetime,446,0,0,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
Rock Dog 2: Rock Around the Park,812204,en,611.612,2021-06-24,7.6,25,"['Animation', 'Comedy', 'Music', 'Family']",band true leave tour pop sensation learn fame come price,0,90.0,,133,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Space Jam: A New Legacy,379686,en,525.266,2021-07-08,7.3,2550,"['Animation', 'Comedy', 'Family', 'Science Fiction']",young son trapped digital space rogue must get home safe leading whole gang notoriously undisciplined victory digitized champion court versus highest stake challenge life,148810604,115.0,Welcome to the Jam!,331,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Wrath of Man,637649,en,541.957,2021-04-22,7.8,2598,"['Action', 'Crime', 'Thriller']",cold mysterious new security guard cash truck company surprise co worker unleashes precision skill heist crew left wondering came marksman ultimate motive becomes clear take dramatic irrevocable step settle score,103966489,119.0,A one man army.,327,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
The Many Saints of Newark,524369,en,593.17,2021-09-22,6.8,201,"['Crime', 'Drama']",growing one tumultuous era history becoming man rival gangster start rise challenge powerful crime family changing time uncle idolizes whose influence nephew help shape impressionable teenager powerful mob bos,11620603,120.0,Who made Tony Soprano?,402,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Caged,777620,en,475.873,2021-01-26,6.6,39,"['Thriller', 'Horror']",african american male imprisoned placed solitary confinement found guilty murdering wife haunted internal demon dead wife pushed breaking point abusive female guard,0,81.0,There is no getting out.,236,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Injustice,831405,en,563.221,2021-10-09,8.0,339,"['Animation', 'Science Fiction', 'Fantasy', 'Action']",killed unhinged decides take control determined stop creates team freedom fighting hero superheroes go war world survive,0,78.0,,213,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Cosmic Sin,681887,en,503.598,2021-03-12,4.4,363,['Science Fiction'],year four century human started colonizing outer planet retired get called back service hostile alien fleet attack soldier remote planet threat mankind soon escalates interstellar war team elite soldier try stop imminent attack late,0,88.0,First contact has been made. It's war.,362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Cruella,337404,en,510.735,2021-05-26,8.3,5879,"['Comedy', 'Crime']",amidst punk rock revolution young grifter named determined make name design befriends pair young thief appreciate appetite mischief together able build life street one day flair fashion catch eye fashion legend devastatingly chic terrifyingly haute relationship set motion course event revelation cause embrace wicked side become raucous fashionable revenge bent,233274812,134.0,Hello Cruel World,633,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAC Nord,637534,fr,486.411,2021-08-18,7.7,483,"['Crime', 'Thriller']",police brigade working dangerous northern neighborhood level crime higher anywhere else,0,105.0,,143,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Mortal Kombat,460465,en,495.192,2021-04-07,7.3,4000,"['Action', 'Fantasy', 'Adventure']",washed fighter unaware heritage hunted best warrior seek train greatest champion prepares stand enemy high stake battle universe,83601013,110.0,Get over here.,269,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Demonic,774021,en,422.784,2021-07-29,4.9,74,"['Horror', 'Thriller']",young woman unleashes terrifying demon supernatural force root decade old rift mother daughter ruthlessly revealed,0,104.0,"It's not a dream, it's not reality.",153,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
疯狂的拳头,859041,zh,504.28,2017-05-25,7.6,37,['Action'],opponent dy mid match prominent champion swore never fight retired run family company best friend dy suspicious circumstance ha choice step back ring,0,97.0,,235,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
劇場版ポケットモンスター ココ,662708,ja,510.2,2020-12-25,7.3,59,"['Animation', 'Adventure']",feral child ha raised ha grown never doubting even though really use sort move help protect crooked scientist,0,98.0,,321,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Tomorrow War,588228,en,439.548,2021-07-02,8.1,4522,"['Action', 'Science Fiction', 'Adventure']",world stunned group time traveler arrive year deliver urgent message year future mankind losing global war deadly alien specie hope survival soldier civilian present transported future join fight among recruited high school teacher family man determined save world young daughter team brilliant scientist estranged father desperate quest rewrite fate planet,0,138.0,The fight for tomorrow begins today.,572,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Infinite,581726,en,430.839,2021-09-09,6.9,553,"['Science Fiction', 'Action', 'Thriller']",ha skill never learned memory place ha never visited self medicated brink mental breakdown secret group call infinite come rescue revealing memory real,0,106.0,Many lives. Unlimited potential.,247,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Old,631843,en,427.735,2021-07-21,6.7,1593,"['Thriller', 'Mystery', 'Horror']",group family tropical holiday discover secluded beach staying somehow causing age rapidly reducing entire life single day,89500000,108.0,It's only a matter of time.,185,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
LOL Surprise: The Movie,882206,en,414.698,2021-10-08,7.5,31,"['Animation', 'Family']",dazzling doll sister make first movie help fashionable friend one kind magical adventure,0,0.0,,150,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ainbo: Spirit of the Amazon,588921,en,400.934,2021-02-09,7.2,220,"['Adventure', 'Animation', 'Family', 'Fantasy']",epic journey young hero dillo cute humorous armadillo vaca goofy oversized tapir embark quest save home spectacular,0,84.0,,207,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"Miraculous World: Shanghai, la légende de Ladydragon",726684,fr,434.458,2021-05-15,8.0,362,"['Animation', 'Comedy', 'Family', 'Adventure']",school break head shanghai meet arriving loses stuff including allows turn,0,52.0,,174,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Marvel Knights: Eternals,375211,en,429.973,2014-09-16,5.6,5,['Animation'],thousand year old amazing power watched civilization rise fall doe one remember author joined superstar artist amazing bring extraordinary tale student world turned upside meet man belief part century old race super powered put earth alien preserve safeguard planet even crazier tried convince one,0,118.0,,608,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zack Snyder's Justice League,791373,en,410.965,2021-03-18,8.4,6803,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",determined ensure ultimate sacrifice wa vain aligns force plan recruit team metahumans protect world approaching threat catastrophic proportion,657000000,242.0,,231,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Spider-Man: No Way Home,634649,en,480.702,2021-12-15,0.0,0,"['Action', 'Adventure', 'Science Fiction']",unmasked longer able separate normal life high stake asks help stake become even dangerous forcing discover truly mean spider man,0,0.0,,258,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
No Time to Die,370172,en,604.254,2021-09-29,7.4,1209,"['Adventure', 'Action', 'Thriller']",bond ha left active service enjoying tranquil life peace short lived old friend turn asking help mission rescue kidnapped scientist turn far treacherous expected leading onto trail mysterious villain armed dangerous new technology,667000000,163.0,The mission that changes everything begins…,354,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Narco Sub,706972,en,374.848,2021-01-22,7.1,59,"['Action', 'Drama', 'Crime']",man become criminal save family,0,93.0,A man will become a criminal to save his family.,142,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Night Teeth,669671,en,367.303,2021-10-20,6.8,299,"['Horror', 'Thriller', 'Action']",college student moonlighting chauffeur pick two mysterious woman night party hopping across uncovers bloodthirsty intention dangerous shadowy underworld must fight stay alive,0,107.0,Paint the town red.,239,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Army of the Dead,503736,en,364.974,2021-05-14,6.4,2514,"['Action', 'Adventure', 'Crime', 'Horror']",following zombie outbreak group mercenary take ultimate gamble venturing quarantine zone pull greatest heist ever attempted,780000,148.0,Survivors take all.,172,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Avatar,19995,en,374.059,2009-12-10,7.5,24280,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",nd century paraplegic dispatched moon unique mission becomes torn following order protecting alien civilization,2847246203,162.0,Enter the World of Pandora.,175,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Sweet Girl,619297,en,360.21,2021-08-18,6.9,697,['Action'],devastated husband vow bring justice people responsible wife death protecting family ha left daughter,0,110.0,Family fights as one.,149,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Godzilla vs. Kong,399566,en,393.812,2021-03-24,7.9,7185,"['Action', 'Adventure', 'Fantasy']",time monster walk humanity fight future set collision course see two powerful force nature planet collide spectacular battle age,467863133,113.0,One Will Fall,229,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Redemption Day,767304,en,360.237,2021-01-08,6.7,150,['Action'],returned home decorated wife kidnapped terrorist group working forced back action daring deadly operation save woman love,0,100.0,Taking his wife was their last mistake.,234,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
真·三国无双,525660,cn,372.423,2021-04-29,6.7,71,"['Action', 'Adventure', 'Fantasy']",warrior statesman wage battle supremacy fantasy tale based hit video game romance,0,117.0,,151,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Mi otra yo,840756,es,501.068,2021-06-15,6.3,3,['Comedy'],controversial tv host comedian ha built career sexist humor forced assume woman identity elude relentless drug dealer,0,89.0,,151,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Don't Breathe 2,482373,en,366.157,2021-08-12,7.7,1114,"['Thriller', 'Horror']",ha hiding several year isolated cabin ha taken raised young girl orphaned devastating house fire quiet life together shattered group criminal kidnap girl forcing man leave safe save,45000000,98.0,Bad things happen to bad people.,294,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
The Conjuring: The Devil Made Me Do It,423108,en,311.759,2021-05-25,7.8,3856,"['Horror', 'Mystery', 'Thriller']",paranormal investigator encounter would become one sensational case file fight soul young boy take beyond anything ever seen mark first time history murder suspect would claim demonic possession defense,199166992,111.0,The demonic case that shocked America.,323,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
Finch,522402,en,549.884,2021-11-04,8.0,522,"['Science Fiction', 'Drama', 'Adventure']",post apocalyptic robot built protect life dying creator beloved dog learns life love friendship mean human,0,115.0,,167,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Ava,453354,fr,367.131,2017-06-21,6.0,121,['Drama'],ava spending summer coast learns lose sight sooner expected mother decides act everything normal spend best summer ever confronts problem way steal big black dog belongs young man run,0,106.0,,325,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Solitary,725273,en,347.349,2020-08-31,5.8,59,['Science Fiction'],man wake inside room discover prisoner sent space form first colony worse cell mate hell bent destroying everything,0,89.0,The greatest punishment imaginable.,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
機動戦士ガンダム 閃光のハサウェイ,685274,ja,371.425,2021-06-11,8.1,57,"['Animation', 'Action', 'Drama', 'Science Fiction']",rebellion lead insurgency meeting enemy officer mysterious woman alters fate,0,96.0,Char's ideals and Amuro's passion... the heir of their wills...,151,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Catch the Bullet,859860,en,363.643,2021-09-10,5.6,67,"['Western', 'Action']",marshal return mission find father wounded son kidnapped outlaw trail form posse gunslinging deputy stoic tracker tread dangerously close territory,0,89.0,The sun never sets on vengeance.,299,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Rogue Hostage,825997,en,340.663,2021-06-11,6.4,101,"['Action', 'Thriller']",former race time save group hostage including young daughter congressman armed militant take stepfather store,0,94.0,Free the hostages. Or everyone dies.,169,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Miraculous World : New York, les héros unis",755812,fr,326.392,2020-11-21,8.3,812,"['Animation', 'Family', 'Comedy', 'Adventure', 'TV Movie']",school field trip meet superheroes save akumatised super villain discover miraculous exist,0,55.0,,198,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Women,719164,en,219.924,2021-04-08,6.1,14,['Thriller'],small town detective investigating disappearance local woman come across unassuming sociology professor hiding secret life,0,90.0,Don't Scream. Don't Run. Survive.,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
The Forever Purge,602223,en,321.093,2021-06-30,7.4,1396,"['Horror', 'Action', 'Thriller']",rule broken sect lawless marauder decides annual purge doe stop daybreak instead never end chase group immigrant want punish harsh historical past,76981630,103.0,The rules are broken.,240,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
SAS: Red Notice,595743,en,328.657,2021-08-11,6.0,259,"['Drama', 'Action', 'Thriller']",duty soldier must thwart terror attack train running action escalates train event transpire corridor power may make difference whether civilian passenger make tunnel alive,0,120.0,,311,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Bloodthirsty,741636,en,334.459,2021-04-23,6.6,16,['Horror'],indie singer struggle write sophomore album team mysterious producer secluded cabin bond strengthens music also start irreparably alter body mind,0,82.0,Ambition can be killer.,224,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
The Amazing Spider-Man,1930,en,369.323,2012-06-23,6.6,13495,"['Action', 'Adventure', 'Fantasy']",outcast high schooler abandoned parent boy leaving raised like teenager trying figure got person today discovers mysterious briefcase belonged father begin quest understand parent disappearance leading directly lab father former partner set collision course alter ego make life altering choice use power shape destiny become hero,757930663,136.0,The untold story begins.,638,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Comment je suis devenu super-héros,641501,fr,320.168,2020-11-19,6.1,292,"['Science Fiction', 'Adventure', 'Mystery', 'Action', 'Thriller', 'Fantasy', 'Comedy']",superheroes assimilated parisian society discover new drug give personal superpower mere mortal investigating case support two ex superheroes whatever take dismantle traffic past resurfaces investigation becomes complicated,0,101.0,,419,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0
Jurassic Hunt,848278,en,305.718,2021-08-26,5.0,153,"['Action', 'Science Fiction', 'Thriller']",adventurer join crew male trophy hunter remote wilderness park goal slaughter genetically recreated dinosaur sport using rifle arrow grenade guide killed raptor team try escape park hunter quickly become hunted worse park manager suspect spy sends hit squad battle become primitive,0,83.0,This time it's mankind that's going extinct.,444,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
